t,ax,ay,az,gx,gy,gz
86.075,9.16,1.7999999999999998,7.5,0.01,0.0,0.01
86.234,9.16,1.77,7.51,0.0,0.0,0.02
86.358,9.14,1.75,7.5,-0.030000000000000002,-0.020000000000000004,0.03
86.482,9.18,1.7400000000000002,7.47,0.0,0.0,0.02
86.606,9.200000000000001,1.7000000000000002,7.52,0.02,0.03,0.01
86.731,9.21,1.69,7.6,0.05,0.05,-0.0
86.855,9.22,1.69,7.68,0.04,0.08,-0.0
86.979,9.23,1.7000000000000002,7.779999999999999,0.01,0.06,-0.0
87.103,9.21,1.7000000000000002,7.81,0.0,0.0,0.01
87.227,9.26,1.67,7.76,0.0,-0.03,-0.01
87.351,9.25,1.6800000000000002,7.7299999999999995,0.0,-0.020000000000000004,-0.01
87.475,9.25,1.7000000000000002,7.68,0.02,-0.03,-0.01
87.6,9.270000000000001,1.69,7.6499999999999995,0.01,-0.04000000000000001,-0.0
87.724,9.24,1.7000000000000002,7.66,-0.02,0.04,0.01
87.852,9.25,1.7000000000000002,7.68,-0.009999999999999998,0.009999999999999998,-0.01
87.976,9.23,1.73,7.7299999999999995,-0.02,0.009999999999999998,-0.0
88.1,9.23,1.73,7.72,-0.02,-0.020000000000000004,-0.01
88.225,9.200000000000001,1.75,7.67,-0.009999999999999998,-0.020000000000000004,-0.01
88.349,9.21,1.75,7.6499999999999995,0.0,-0.04000000000000001,-0.01
88.473,9.200000000000001,1.7599999999999998,7.56,0.02,-0.06,-0.0
88.598,9.200000000000001,1.75,7.54,0.01,-0.04000000000000001,0.0
88.722,9.18,1.7200000000000002,7.449999999999999,0.01,0.0,0.01
88.846,9.200000000000001,1.75,7.5,0.01,-0.010000000000000002,0.01
88.971,9.18,1.73,7.5,0.01,0.0,0.0
89.095,9.18,1.73,7.51,0.01,-0.020000000000000004,0.01
89.219,9.18,1.7000000000000002,7.489999999999999,0.0,-0.020000000000000004,0.01
89.344,9.21,1.71,7.4799999999999995,0.0,0.0,0.01
89.468,9.17,1.7000000000000002,7.52,-0.009999999999999998,0.04,0.01
89.592,9.200000000000001,1.71,7.52,-0.009999999999999998,0.03,0.0
89.717,9.22,1.69,7.62,0.0,0.04,0.0
89.841,9.23,1.67,7.6,0.0,0.009999999999999998,-0.01
89.965,9.270000000000001,1.7000000000000002,7.6499999999999995,0.02,0.05,-0.02
90.09,9.24,1.7000000000000002,7.76,0.02,0.05,-0.01
90.214,9.23,1.7400000000000002,7.81,0.01,-0.020000000000000004,-0.0
90.338,9.280000000000001,1.7200000000000002,7.699999999999999,-0.009999999999999998,-0.07,-0.0
90.463,9.24,1.71,7.609999999999999,-0.009999999999999998,-0.07,0.01
90.587,9.190000000000001,1.7200000000000002,7.59,0.0,-0.05,-0.0
90.712,9.17,1.73,7.52,0.01,-0.07,0.0
90.836,9.14,1.7200000000000002,7.42,0.02,-0.14,-0.0
90.961,9.18,1.7200000000000002,7.1899999999999995,0.03,-0.15,0.01
91.085,9.110000000000001,1.71,7.26,-0.009999999999999998,0.15,0.0
91.209,9.42,1.75,7.55,-0.08,0.64,0.06
91.333,9.860000000000001,1.71,7.93,0.01,-0.05,-0.12
91.458,9.950000000000001,1.5899999999999999,7.33,0.09000000000000001,-1.67,0.03
91.582,9.8,1.7400000000000002,6.71,-0.19,0.43999999999999995,0.08
91.707,8.120000000000001,1.5499999999999998,6.55,0.37,-0.76,-0.16
91.831,10.620000000000001,1.88,5.9399999999999995,-0.21000000000000002,-0.43999999999999995,0.21
91.955,9.610000000000001,1.46,5.529999999999999,-0.22,-0.42000000000000004,0.11
92.08,8.770000000000001,1.87,5.96,-0.15000000000000002,-0.63,0.12
92.204,7.61,1.81,5.7299999999999995,-0.030000000000000002,-0.6,0.11
92.328,6.55,1.42,5.489999999999999,-0.18000000000000002,-0.95,0.17
92.453,3.19,2.05,4.07,-0.19,-0.83,0.15
92.577,3.7100000000000004,1.71,2.799999999999999,0.56,0.21,-0.23
92.701,5.79,0.84,2.459999999999999,0.35000000000000003,-0.28,-0.2
92.825,5.77,1.3399999999999999,1.0999999999999996,0.30000000000000004,-0.63,-0.06
92.949,6.109999999999999,0.6,0.629999999999999,0.03,-0.98,0.13
93.073,4.33,1.1,-0.5700000000000003,-0.05,-1.03,0.13
93.231,2.5500000000000003,0.6699999999999999,0.33000000000000007,0.22,-1.04,-0.01
93.356,1.9700000000000002,0.89,0.129999999999999,0.26,-1.19,-0.11
93.48,0.4700000000000001,0.22,0.7099999999999991,0.18,-1.65,-0.12
93.604,-2.75,-0.45999999999999996,3.0999999999999996,0.36000000000000004,-1.63,0.02
93.728,-1.87,-0.56,1.4000000000000004,0.18,-0.77,0.12
93.852,-3.31,-0.39,-0.6600000000000001,0.03,0.42000000000000004,0.18
93.976,1.37,-1.33,-2.5500000000000007,0.01,0.05,0.24
94.135,6.6499999999999995,0.62,-3.9299999999999997,0.42000000000000004,3.3,0.4
94.26,-9.92,-6.54,-10.440000000000001,-0.69,-3.5700000000000003,0.14
94.384,-4.760000000000001,1.02,4.96,-0.32999999999999996,-0.41000000000000003,0.17
94.508,-6.010000000000001,0.02999999999999997,1.5999999999999996,0.47000000000000003,0.53,0.13
94.633,-5.5600000000000005,1.24,-2.01,0.05,1.24,-0.05
94.757,-3.6799999999999997,-2.27,-7.469999999999999,-0.89,1.94,-0.19
94.881,16.09,-0.9900000000000001,2.129999999999999,0.01,-1.76,0.26
95.005,-6.590000000000001,0.4,8.54,0.12000000000000001,-1.48,0.24
95.13,-5.7700000000000005,-0.44000000000000006,1.1099999999999994,-0.2,1.02,-0.23
95.254,-5.45,0.6,-10.010000000000002,-0.41,2.6599999999999997,-0.17
95.378,15.26,0.25,0.009999999999999787,-0.26,0.19,-0.15
95.503,-5.67,0.09999999999999998,8.809999999999999,0.13999999999999999,-1.39,0.16
95.627,-7.4,0.16999999999999998,1.1799999999999997,0.19999999999999998,0.24,-0.1
95.752,-5.23,0.08999999999999997,-9.190000000000001,-0.47,1.83,-0.26
95.876,12.92,1.17,-0.6799999999999997,-0.29,0.87,-0.38
96.0,-3.6999999999999997,0.53,7.609999999999999,0.19999999999999998,-1.53,0.12
96.125,-4.38,-3.7,0.8300000000000001,0.61,0.03,0.05
96.249,-4.82,-1.02,-5.0,-0.3,1.32,0.05
96.373,0.29000000000000004,-0.6900000000000001,-4.649999999999999,-0.15000000000000002,0.6900000000000001,0.04
96.498,3.78,1.8399999999999999,8.55,0.45,-2.0500000000000003,0.16
96.622,-3.85,2.88,3.4399999999999995,0.6,-0.82,-0.19
96.746,-1.4,-0.32999999999999996,-1.040000000000001,0.09000000000000001,0.9400000000000001,0.04
96.871,-0.32999999999999996,0.42,-9.32,-0.69,1.41,-0.3
96.995,9.51,0.64,4.4399999999999995,-0.26999999999999996,-1.9799999999999998,0.22
97.12,-4.7700000000000005,1.2,8.1,0.15,-1.49,0.12
97.244,-4.87,1.25,0.7899999999999991,-0.030000000000000002,-0.25,-0.16
97.368,-6.58,-2.1,-5.219999999999999,-0.9299999999999999,0.87,-0.15
97.493,2.14,1.37,-0.9399999999999995,-0.25,0.43000000000000005,-0.3
97.617,1.8900000000000001,3.0500000000000003,4.9799999999999995,-0.02,-1.9,0.09
97.741,-4.3500000000000005,1.5499999999999998,3.219999999999999,2.03,-2.0100000000000002,-0.76
97.866,-0.09999999999999998,-0.30000000000000004,-1.0700000000000003,1.34,2.15,-0.18
97.99,-0.21999999999999997,-6.39,2.119999999999999,0.22,1.67,-0.14
98.114,-2.07,-2.78,-3.7699999999999996,-0.36,0.54,-0.07
98.239,5.6,-6.34,2.369999999999999,-0.2,-0.2,0.02
98.363,-2.65,-3.27,-0.33999999999999986,-0.32999999999999996,0.19,0.04
98.487,8.05,-1.21,1.5999999999999996,-4.24,0.47,0.44
98.612,3.02,11.01,1.049999999999999,-1.89,0.2,-0.0
98.736,-4.69,3.9,2.1999999999999993,-0.36,-0.94,0.38
98.86,-3.35,5.03,2.969999999999999,-0.52,0.009999999999999998,0.05
98.984,-1.7599999999999998,8.24,-0.9500000000000011,-0.09999999999999999,0.28,-0.5
99.108,-0.25,8.569999999999999,2.08,2.25,-0.11000000000000001,-0.94
99.233,-3.6199999999999997,2.23,3.219999999999999,3.02,-1.71,-0.77
99.357,-1.52,-7.1899999999999995,-0.15000000000000036,1.79,0.72,-0.24
99.481,1.5100000000000002,-3.96,-0.7100000000000009,-0.13,0.86,-0.09
99.605,-0.26,-3.6,3.629999999999999,0.93,2.0399999999999996,-0.63
99.729,-0.14999999999999997,-7.919999999999999,0.28999999999999915,-0.039999999999999994,1.49,0.16
99.853,1.31,-5.0,1.3699999999999992,-2.34,1.3800000000000001,-0.24
99.977,-1.5699999999999998,2.9,0.6699999999999999,-3.46,1.1400000000000001,0.53
100.106,4.72,2.48,2.41,0.5,-0.5399999999999999,-0.01
100.23,0.42000000000000004,1.7599999999999998,0.40000000000000036,-0.94,-0.77,0.54
100.354,0.39,7.61,-1.9700000000000006,-1.74,-0.43999999999999995,-0.51
100.478,-2.45,8.61,-3.080000000000002,1.11,-1.23,-0.87
100.603,2.29,3.0100000000000002,3.5999999999999996,2.12,-1.06,-0.88
100.727,-6.0600000000000005,-3.8499999999999996,5.27,2.85,0.7000000000000001,-0.62
100.885,-3.58,-4.21,3.959999999999999,0.67,0.43999999999999995,-0.21
101.009,-6.5200000000000005,-0.36,-2.040000000000001,-0.24000000000000002,0.5800000000000001,0.03
101.133,0.32000000000000006,-5.4399999999999995,2.289999999999999,0.52,-0.37,-0.36
101.258,-3.4899999999999998,-3.31,0.5600000000000005,-0.24000000000000002,1.59,0.05
101.382,5.42,1.3599999999999999,0.9900000000000002,-3.98,1.16,0.52
101.506,2.48,9.52,0.17999999999999972,-1.66,0.28,-0.02
101.631,-0.72,1.4,1.83,0.31,-0.84,0.23
101.755,-3.59,1.62,1.0999999999999996,-1.07,-0.73,0.41
101.88,-3.92,7.55,-0.7300000000000004,-0.62,-0.59,-0.53
102.038,-0.29,5.16,3.5199999999999996,2.4,-1.01,-0.92
102.162,-5.0,1.73,4.76,2.19,-1.71,-0.8
102.286,-5.15,-5.91,0.019999999999999574,1.72,-0.6799999999999999,-0.08
102.411,-2.92,-4.83,2.119999999999999,0.65,0.91,-0.23
102.535,-6.17,-0.31000000000000005,-4.300000000000001,0.13,-0.36,-0.2
102.659,-0.21999999999999997,-5.29,1.6899999999999995,0.34,-0.36,-0.4
102.784,-5.5600000000000005,-2.8,2.6899999999999995,-0.58,-0.1,-0.02
102.908,5.39,0.13,3.3100000000000005,-4.49,0.5,0.54
103.032,1.0100000000000002,7.26,2.6099999999999994,-2.22,0.77,0.51
103.157,0.43000000000000005,1.8599999999999999,2.539999999999999,0.5800000000000001,-1.08,0.24
103.281,-2.84,1.23,1.129999999999999,-1.16,-0.76,0.53
103.406,-0.43999999999999995,7.22,-1.1300000000000008,-1.3,-0.43999999999999995,-0.37
103.53,0.5199999999999999,10.29,-2.6899999999999995,0.56,-0.44999999999999996,-0.8
103.654,0.32000000000000006,3.9,4.449999999999999,1.0,-1.96,-0.6
103.779,-2.03,2.38,3.1099999999999994,2.6,0.1,-0.46
103.903,-3.1399999999999997,-1.8599999999999999,2.34,0.85,-0.31999999999999995,-0.17
104.027,-2.84,-1.8899999999999997,0.5399999999999991,-0.27999999999999997,0.88,0.27
104.152,-0.21999999999999997,2.38,-1.6600000000000001,0.06,2.07,-0.11
104.276,0.19000000000000006,-0.14,-0.25,0.19,0.85,-0.23
104.4,-2.05,0.33,-2.0199999999999996,-0.44999999999999996,0.47,0.4
104.525,0.20000000000000007,1.7200000000000002,-2.1099999999999994,-0.24000000000000002,-0.5399999999999999,0.11
104.649,1.08,1.9700000000000002,2.16,-0.43,-3.58,-0.18
104.773,-2.71,-0.03999999999999998,9.879999999999999,-0.09999999999999999,-4.35,-0.64
104.897,-4.62,-0.87,15.67,0.36000000000000004,-4.04,-0.75
105.022,-4.3500000000000005,-1.13,20.4,0.31,-2.9400000000000004,-0.42
105.146,-7.38,-1.6099999999999999,27.259999999999998,-0.36,-5.39,-0.0
105.27,0.45000000000000007,-3.08,26.77,-1.35,-3.7600000000000002,-0.03
105.394,-1.1400000000000001,-2.7399999999999998,21.32,-0.86,-1.42,0.37
105.518,4.33,-3.91,10.51,-0.77,-1.16,0.41
105.642,12.540000000000001,-6.09,12.83,-1.1099999999999999,2.1199999999999997,0.95
105.766,9.530000000000001,-8.440000000000001,7.75,-2.18,1.45,-0.56
105.891,0.62,-5.4399999999999995,17.93,-1.38,-2.64,-0.62
106.015,-4.42,-8.64,14.51,-1.88,-0.5499999999999999,-0.04
106.14,-3.75,-11.510000000000002,5.56,-1.19,1.34,-0.09
106.264,-2.8699999999999997,-9.64,4.65,-1.25,1.22,-0.12
106.388,2.52,-9.020000000000001,18.18,-1.19,-1.34,0.3
106.513,-2.9,-5.56,8.42,-0.6699999999999999,-1.9799999999999998,-0.27
106.637,-1.8599999999999999,-8.21,5.4799999999999995,-1.32,1.7,-0.09
106.761,-1.8599999999999999,-8.430000000000001,-3.3900000000000006,-1.64,1.62,-0.35
106.886,10.75,-6.78,3.379999999999999,-0.82,0.76,-0.31
107.01,-3.04,-6.82,9.84,-0.88,-1.6099999999999999,0.35
107.134,-4.96,-10.120000000000001,3.51,0.09000000000000001,-0.59,0.06
107.258,-3.13,-6.1899999999999995,-1.9700000000000006,-0.97,1.26,0.24
107.383,-1.03,-5.62,-5.219999999999999,-0.75,1.78,0.05
107.507,6.06,-2.84,7.92,-0.17,-1.53,0.27
107.632,-4.48,0.69,7.05,0.07,-1.3599999999999999,-0.11
107.756,-3.67,-3.8099999999999996,2.09,-0.08,-0.15,-0.11
107.88,-5.140000000000001,-4.53,-5.010000000000002,-0.84,1.1,0.08
108.005,-0.14,-2.82,-1.1400000000000006,-0.65,1.05,0.05
108.129,2.12,-1.1600000000000001,6.41,0.16999999999999998,-1.77,0.13
108.253,-4.78,0.94,4.049999999999999,0.55,-0.64,-0.35
108.378,-4.0200000000000005,-1.1600000000000001,0.5099999999999998,-0.11,0.42000000000000004,0.07
108.502,-5.11,-1.0099999999999998,-6.25,-1.02,1.59,-0.34
108.66,13.33,-0.04999999999999999,1.9299999999999997,-0.75,0.86,0.13
108.784,-2.33,-0.7000000000000001,7.59,0.46,-1.93,0.16
108.908,-2.84,-4.43,0.9100000000000001,-0.039999999999999994,-1.09,0.09
109.033,-2.92,-1.35,-2.0500000000000007,-0.31,0.87,-0.03
109.157,0.13,-0.67,-5.370000000000001,-0.51,1.04,-0.33
109.282,11.25,0.48,0.5099999999999998,-0.66,1.62,-0.14
109.406,0.61,1.7999999999999998,6.87,-0.039999999999999994,-1.58,0.1
109.53,-4.3100000000000005,-3.67,1.7199999999999989,1.69,-1.4,-0.2
109.655,-0.89,0.19,-2.1099999999999994,1.46,1.32,-0.22
109.779,-2.22,-5.41,2.1400000000000006,0.49,0.27,-0.45
109.937,-4.09,-3.53,-2.3900000000000006,-0.009999999999999998,0.67,0.07
110.062,5.069999999999999,-4.71,1.629999999999999,-0.72,-0.47,0.05
110.186,-4.63,-1.79,1.4000000000000004,-1.13,-0.08,-0.34
110.31,4.51,3.14,1.0600000000000005,-4.07,-0.5399999999999999,0.27
110.435,3.4899999999999998,9.44,-0.16000000000000014,-0.16,-0.5499999999999999,-0.52
110.559,-2.63,3.5500000000000003,0.879999999999999,0.19999999999999998,-0.64,0.13
110.683,-1.1600000000000001,5.47,2.0199999999999996,-0.9199999999999999,-0.04000000000000001,0.03
110.808,-1.6,8.899999999999999,-2.41,0.03,-0.15,-0.73
110.932,1.2400000000000002,2.99,4.5600000000000005,2.69,-1.73,-0.69
111.056,-4.33,1.54,3.6999999999999993,2.2600000000000002,-1.43,-0.59
111.18,-1.38,-6.05,1.3200000000000003,1.53,1.42,-0.11
111.304,0.4,-5.1499999999999995,0.35999999999999943,0.21,1.17,-0.14
111.428,-4.7700000000000005,0.010000000000000009,1.1199999999999992,0.74,1.97,-0.66
111.552,1.75,-4.34,-0.2699999999999996,0.16,1.07,-0.09
111.677,-1.26,-1.7599999999999998,-0.07000000000000028,-1.57,0.5900000000000001,-0.32
111.801,5.359999999999999,3.83,-2.3499999999999996,-3.54,0.06,0.15
111.925,0.42000000000000004,4.22,2.67,0.24,-1.48,-0.38
112.049,-4.05,1.52,1.379999999999999,-0.12000000000000001,-0.86,0.29
112.177,-0.16999999999999998,3.69,2.76,-1.4,0.09,0.07
112.302,-2.31,8.17,-2.0700000000000003,-0.06,0.0,-0.55
112.426,0.7999999999999999,3.2600000000000002,3.7799999999999994,2.63,-0.96,-0.83
112.55,-5.0200000000000005,1.96,3.969999999999999,2.01,-1.3599999999999999,-0.64
112.674,-2.45,-6.6499999999999995,1.129999999999999,1.51,0.35,-0.19
112.799,-2.09,-4.47,1.6099999999999994,0.24,0.49,-0.18
112.923,-8.19,0.52,-1.08,0.38,1.17,-0.59
113.047,0.7500000000000001,-5.0,0.6799999999999997,0.24,0.8,-0.2
113.172,-0.37,-1.2000000000000002,0.3200000000000003,-0.95,0.26,-0.26
113.296,5.4399999999999995,3.74,0.20999999999999908,-3.97,0.65,0.05
113.42,1.29,9.889999999999999,1.6799999999999997,0.04,-0.86,-0.37
113.545,-2.6399999999999997,0.59,0.4499999999999993,0.12000000000000001,-0.6599999999999999,0.24
113.669,-1.6099999999999999,4.91,2.299999999999999,-1.17,-0.31000000000000005,0.16
113.794,-3.78,8.5,-1.1300000000000008,-0.37,-0.6699999999999999,-0.61
113.918,2.02,4.79,3.0600000000000005,2.58,-0.6599999999999999,-0.58
114.042,-3.19,3.0700000000000003,3.9800000000000004,2.7,-1.18,-0.68
114.167,-2.36,-8.590000000000002,0.7400000000000002,1.74,0.31999999999999995,-0.24
114.291,-1.49,-4.81,1.9900000000000002,0.1,1.3900000000000001,0.01
114.415,-8.47,0.69,-0.47000000000000064,0.45,1.59,-0.54
114.54,1.06,-5.14,1.2799999999999994,0.41000000000000003,0.019999999999999997,-0.24
114.664,-3.4299999999999997,-2.63,0.8300000000000001,-0.7999999999999999,0.65,-0.08
114.788,4.33,3.1100000000000003,0.9800000000000004,-4.33,0.24,0.36
114.913,2.8600000000000003,9.17,1.0399999999999991,-1.09,-0.23,0.27
115.037,-4.09,1.23,1.6799999999999997,0.19999999999999998,-0.4,0.21
115.162,-2.77,2.5900000000000003,0.33999999999999986,-1.22,-1.1099999999999999,0.43
115.286,-3.27,8.51,-0.9399999999999995,-1.03,-0.44999999999999996,-0.4
115.41,-0.07999999999999996,9.53,-1.5700000000000003,1.24,0.06,-0.73
115.535,-0.81,5.63,2.1500000000000004,1.25,-1.13,-0.46
115.659,-5.840000000000001,0.62,4.49,2.3,0.32999999999999996,-0.52
115.783,-5.92,-0.65,1.9800000000000004,1.7,-0.76,-0.47
115.908,-1.8599999999999999,-3.59,1.3100000000000005,1.47,0.56,-0.29
116.032,-4.25,-4.83,1.8100000000000005,1.3900000000000001,-0.010000000000000002,-0.38
116.156,-3.44,-6.1899999999999995,2.709999999999999,1.05,0.23,-0.28
116.281,-3.84,-6.71,3.289999999999999,0.9500000000000001,0.27,-0.35
116.439,-2.56,-8.21,4.5,0.87,0.44999999999999996,-0.38
116.563,-2.53,-8.260000000000002,5.31,0.84,0.48,-0.43
116.687,-1.42,-8.790000000000001,6.199999999999999,0.84,0.23,-0.44
116.812,-0.41,-8.790000000000001,7.17,0.9,0.16,-0.47
116.936,0.32000000000000006,-9.16,8.34,0.85,-0.010000000000000002,-0.49
117.06,0.92,-8.82,8.95,0.6900000000000001,0.11,-0.52
117.184,1.04,-8.98,9.69,0.51,0.07,-0.47
117.308,1.67,-8.360000000000001,10.24,0.54,0.31999999999999995,-0.34
117.432,1.0100000000000002,-8.440000000000001,11.37,0.5800000000000001,0.22,-0.35
117.556,1.7200000000000002,-8.870000000000001,12.04,0.25,-0.22,-0.19
117.681,2.0500000000000003,-9.020000000000001,11.94,-0.08,-0.11000000000000001,-0.3
117.839,2.83,-8.82,11.53,-0.21000000000000002,-0.020000000000000004,-0.32
117.963,3.1,-8.75,11.48,-0.06999999999999999,0.09,-0.46
118.087,3.7100000000000004,-9.08,11.62,-0.2,0.019999999999999997,-0.56
118.212,4.77,-8.440000000000001,11.42,-0.13,0.11,-0.58
118.337,5.279999999999999,-7.54,11.16,-0.21000000000000002,0.18,-0.52
118.461,5.989999999999999,-7.13,10.959999999999999,-0.19,0.11,-0.47
118.585,6.58,-6.68,10.809999999999999,-0.2,0.019999999999999997,-0.41
118.71,6.77,-6.22,10.65,-0.14,0.03,-0.41
118.834,7.199999999999999,-5.9399999999999995,10.53,-0.15000000000000002,0.0,-0.38
118.958,7.39,-5.76,10.42,-0.09,-0.05,-0.38
119.082,7.94,-5.34,10.2,-0.18000000000000002,-0.03,-0.38
119.207,8.030000000000001,-4.9799999999999995,10.01,-0.23,-0.06,-0.37
119.331,8.350000000000001,-4.47,9.969999999999999,-0.14,-0.07,-0.51
119.455,8.91,-4.08,9.709999999999999,-0.36,-0.08,-0.38
119.58,8.88,-3.31,9.36,-0.35,0.08,-0.32
119.704,9.13,-3.4099999999999997,9.469999999999999,-0.52,-0.06,-0.14
119.829,8.63,-2.58,8.969999999999999,-0.32999999999999996,-0.08,-0.15
119.953,8.74,-3.88,8.78,-0.22,0.08,-0.23
120.077,8.25,-3.04,8.489999999999998,-0.31,0.27,-0.18
120.202,9.41,-2.6399999999999997,8.98,0.22,-0.35,-0.49
120.326,9.39,-2.8,8.45,0.01,-0.04000000000000001,-0.22
120.45,9.100000000000001,-2.21,8.739999999999998,0.04,-0.08,-0.18
120.575,9.26,-1.29,8.899999999999999,-0.09,0.24,-0.2
120.699,9.41,-1.5699999999999998,9.25,-0.039999999999999994,0.019999999999999997,-0.24
120.824,9.940000000000001,-0.7699999999999999,9.1,-0.12000000000000001,0.05,-0.16
120.948,9.17,-0.64,9.2,-0.039999999999999994,-0.020000000000000004,-0.23
121.072,9.74,-0.29000000000000004,9.27,0.02,0.07,-0.23
121.197,9.32,-0.52,9.53,0.01,0.0,-0.21
121.321,9.610000000000001,-0.47,9.25,-0.2,0.04,-0.24
121.446,9.370000000000001,-0.010000000000000009,9.629999999999999,-0.24000000000000002,-0.16,-0.24
121.57,9.520000000000001,0.38,9.52,-0.38,0.06,-0.07
121.694,9.06,0.59,8.620000000000001,-0.48,-0.21,0.09
121.819,9.74,0.81,9.77,0.13,0.1,-0.13
121.943,9.860000000000001,-0.14,9.69,-0.26999999999999996,0.22,0.05
122.067,9.47,0.19,9.39,-0.52,-0.11000000000000001,0.33
122.192,9.97,0.29,9.8,-0.5599999999999999,0.23,0.37
122.316,9.780000000000001,-0.51,9.87,-0.42,-0.020000000000000004,0.37
122.44,9.66,-0.6900000000000001,9.62,-0.42,-0.06,0.32
122.565,9.8,-0.9,9.64,-0.29,0.12,0.08
122.689,8.700000000000001,-0.7300000000000001,9.12,-0.37,-0.09,0.04
122.812,9.700000000000001,-0.48,9.17,0.08,0.03,-0.21
122.937,9.38,-0.43000000000000005,9.559999999999999,0.21,-0.16,-0.17
123.061,9.700000000000001,-0.7699999999999999,9.92,0.28,0.08,0.03
123.185,9.63,-0.26,9.5,0.43,0.03,0.07
123.309,9.05,-1.27,9.89,0.29000000000000004,0.04,0.04
123.433,9.4,-1.3399999999999999,9.8,0.08,0.08,0.13
123.557,9.3,-0.59,9.89,0.06,-0.020000000000000004,0.06
123.681,9.91,-0.92,9.78,-0.030000000000000002,-0.03,-0.07
